"id","count_all","count_with_missclassed","percent_missclassed"
1,1,0,0
2,4,0,0
3,4,0,0
4,4,0,0
5,5,0,0
6,8,0,0
7,8,0,0
8,10,0,0
9,11,1,9.1
10,11,0,0
11,12,0,0
12,16,0,0
13,19,0,0
14,27,0,0
15,31,0,0
16,37,0,0
17,39,0,0
18,44,0,0
19,60,0,0
20,65,0,0
21,66,0,0
22,75,1,1.3
23,83,0,0
24,84,0,0
25,85,0,0
26,103,0,0
27,109,0,0
28,126,1,0.8
29,158,0,0
30,167,1,0.6
31,170,0,0
32,172,1,0.6
33,174,0,0
34,179,1,0.6
35,179,1,0.6
36,179,0,0
37,180,0,0
38,180,0,0
39,198,2,1
40,202,0,0
41,203,0,0
42,210,0,0
43,211,1,0.5
44,228,0,0
45,230,0,0
46,252,0,0
47,275,1,0.4
48,291,2,0.7
49,321,2,0.6
